simbad_id,ra,dec
2MASS J10003351+0205430,150.13965941016,2.09529696335
2MASS J10004035+0236565,150.16817056093,2.61568890744
2MASS J10003105+0241554,150.12940577076,2.6987755921100005
SDSS J095808.75+020000.9,149.5364898988521,2.0002543319886112
COSMOS 2685690,150.06978335099,2.7441721135800003
ACS-GC 20099329,149.75408918121,2.14182543754
2MASS J10002097+0144317,150.0874096043221,1.7421181612676
COSMOS 1235283,150.20632367214,2.1207302256
DENIS J095927.3+015559,149.86390560608,1.9331922152300005
2MASS J09595063+0223163,149.96097355071,2.38775847099
SDSS J100022.20+021019.8,150.09252675576,2.1721719932700005
COSMOS 2804135,149.61873031864,2.75211558302
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004
SDSS J100109.02+021351.0,150.28760715884,2.23083055898
2MASS J10000275+0231274,150.01147509353,2.5243142632300004
