,simbad_id,ra_deg,dec_deg,V_mag,B_mag,R_mag,I_mag,simbad_otype,spectral_type,mk_class,mk_subtype,lum_class,parallax_mas,pmra_mas_yr,pmdec_mas_yr,stable,field
2038,2MASS J03331899-2741450,53.32917053767,-27.69587931725,17.020000457763672,17.549999237060547,16.510000228881836,,*,,?,,unknown,0.8208,2.638,2.74,True,ECDFS
2039,2MASS J03325932-2746386,53.24723341140001,-27.77735985898,17.030000686645508,17.84000015258789,,,*,,?,,unknown,1.3133,9.551,11.85,True,ECDFS
2040,2MASS J03330935-2807257,53.28899919136,-28.12383708928,17.1299991607666,,,,*,,?,,unknown,0.5001,34.951,-2.255,True,ECDFS
2041,2MASS J03323625-2733265,53.15107148078,-27.55739361262,17.15999984741211,18.040000915527344,,,*,,?,,unknown,1.5379,23.469,0.051,True,ECDFS
2042,2MASS J03321314-2738547,53.05479291417001,-27.64858585752,17.18000030517578,17.959999084472656,,,*,,?,,unknown,1.4104,30.711,-35.807,True,ECDFS
2043,2MASS J03323582-2732584,53.14927238553,-27.549563774069995,17.190000534057617,17.579999923706055,,,*,,?,,unknown,0.2148,3.436,-8.661,True,ECDFS
2044,GNS 5893,53.04279613344,-27.71869272574,17.214000701904297,19.24399948120117,16.775999069213867,,*,,?,,unknown,0.9086,1.174,14.935,True,ECDFS
2045,2MASS J03325252-2758366,53.21884326946,-27.97686122701,17.219999313354492,17.889999389648438,,,*,,?,,unknown,0.9245,0.817,-1.613,True,ECDFS
2046,2MASS J03315706-2757540,52.98774262540001,-27.96499355074,17.219999313354492,17.950000762939453,,,*,,?,,unknown,1.2617,2.695,14.179,True,ECDFS
2047,2MASS J03324564-2733552,53.19019162393,-27.565389801090003,17.229999542236328,17.93000030517578,,,*,,?,,unknown,0.9356,4.058,8.206,True,ECDFS
2048,2MASS J03312103-2749102,52.83759576349,-27.819515709390004,17.260000228881836,18.190000534057617,,,*,,?,,unknown,2.2928,22.956,18.441,True,ECDFS
2049,2MASS J03314908-2756543,52.9545090115,-27.948369326329995,17.280000686645508,17.6299991607666,,,*,,?,,unknown,0.0871,12.8,-0.491,True,ECDFS
2050,2MASS J03320608-2736306,53.02537629823,-27.60852593234,17.290000915527344,17.8700008392334,,,*,,?,,unknown,0.7673,23.642,-6.08,True,ECDFS
2051,2MASS J03331629-2747014,53.31790957935,-27.78376906518,17.290000915527344,17.8799991607666,,,*,,?,,unknown,0.8254,5.969,0.511,True,ECDFS
2052,2MASS J03321344-2756517,53.05601512258,-27.94771008359,17.309999465942383,17.770000457763672,,,*,,?,,unknown,0.4818,3.841,0.414,True,ECDFS
2053,2MASS J03320534-2758524,53.02224865026,-27.98125552413,17.360000610351562,17.8799991607666,,,*,,?,,unknown,1.1131,12.45,-3.912,True,ECDFS
2054,2MASS J03313900-2758166,52.9125433581,-27.97126653803999,17.360000610351562,18.06999969482422,,,*,,?,,unknown,1.1266,9.956,2.413,True,ECDFS
2055,2MASS J03332231-2741253,53.3429965355,-27.690373478049995,17.43000030517578,18.190000534057617,,,*,,?,,unknown,0.9407,5.472,9.451,True,ECDFS
2056,2MASS J03315738-2801493,52.98916277189,-28.03038311372,17.440000534057617,17.950000762939453,,,*,,?,,unknown,0.5499,1.019,-2.848,True,ECDFS
2057,2MASS J03323186-2741059,53.13280362957,-27.68498087722,17.464000701904297,18.600000381469727,,,*,,?,,unknown,0.7049,2.046,5.125,True,ECDFS
2058,2MASS J03322080-2735503,53.08670359136,-27.59735879248,17.469999313354492,18.26000022888184,,,*,,?,,unknown,0.9679,8.193,-5.388,True,ECDFS
2059,2MASS J03322421-2733041,53.10089160391999,-27.55116768241,17.479999542236328,18.239999771118164,,,*,,?,,unknown,1.0629,5.043,2.173,True,ECDFS
2060,2MASS J03322643-2733453,53.110178524530006,-27.56264478459,17.510000228881836,18.209999084472656,,,*,,?,,unknown,0.7135,2.48,-2.088,True,ECDFS
2061,2MASS J03321934-2735154,53.08060616675001,-27.58766372174,17.6200008392334,18.43000030517578,,,*,,?,,unknown,1.1541,8.894,-15.993,True,ECDFS
2062,2MASS J03324077-2801511,53.16980804817,-28.030783158330003,17.6299991607666,17.979999542236328,,,*,,?,,unknown,0.0135,2.287,-1.91,True,ECDFS
2063,2MASS J03315289-2802315,52.97051143174001,-28.04214143639,17.639999389648438,18.170000076293945,,,*,,?,,unknown,0.6376,2.993,0.058,True,ECDFS
2064,2MASS J03313431-2801371,52.89293996164001,-28.02697454506,17.649999618530273,18.21999931335449,,,*,,?,,unknown,0.5086,5.355,1.247,True,ECDFS
2065,2MASS J03323161-2742082,53.13180701531,-27.702295156550004,17.656999588012695,18.780000686645508,,16.8799991607666,*,,?,,unknown,0.6178,8.191,-4.792,True,ECDFS
2066,2MASS J03333895-2734322,53.4123523187278,-27.5754238859648,17.729999542236328,18.290000915527344,,,*,,?,,unknown,,-2.328,-12.547,True,ECDFS
2067,2MASS J03331437-2801591,53.309867826250006,-28.03315128895,17.729999542236328,18.14999961853028,,,*,,?,,unknown,0.2133,12.416,-7.63,True,ECDFS
2068,2MASS J03332882-2803512,53.37011469779999,-28.06427917455,17.75,18.559999465942383,,,*,,?,,unknown,0.838,9.714,-4.709,True,ECDFS
2069,2MASS J03311859-2747237,52.82747991401,-27.790045316640004,17.809999465942383,18.25,,,*,,?,,unknown,0.4003,0.079,-1.152,True,ECDFS
2070,2MASS J03311212-2756599,52.80056427243001,-27.95000165814,17.81999969482422,18.459999084472656,,,*,,?,,unknown,0.7078,12.801,-6.373,True,ECDFS
2071,2MASS J03311822-2800566,52.82599719812999,-28.01566467437,17.829999923706055,18.31999969482422,,,*,,?,,unknown,0.2572,5.36,5.72,True,ECDFS
2072,2MASS J03315295-2750182,52.97070014645,-27.838358341340005,17.850000381469727,18.270000457763672,,,*,,?,,unknown,0.3825,1.679,-0.119,True,ECDFS
2073,2MASS J03330296-2744494,53.26231935002,-27.74707839969,17.860000610351562,18.8700008392334,,,*,,?,,unknown,2.4664,3.792,-27.354,True,ECDFS
2074,2MASS J03324567-2802098,53.19033424769,-28.03607684048,17.860000610351562,18.81999969482422,,,*,,?,,unknown,1.5778,4.323,9.517,True,ECDFS
2075,2MASS J03314853-2737385,52.9521679780289,-27.6275001274405,17.860000610351562,18.90999984741211,,,*,,?,,unknown,,,,True,ECDFS
2076,2MASS J03323656-2801300,53.15238710489,-28.02494625762,17.8799991607666,18.489999771118164,,,*,,?,,unknown,0.5325,8.172,1.205,True,ECDFS
2077,2MASS J03331107-2743300,53.296144021,-27.72500321861,17.889999389648438,19.01000022888184,17.059999465942383,,*,,?,,unknown,2.8753,5.921,8.945,True,ECDFS
2078,2MASS J03320626-2745426,53.02604603951001,-27.76189579819,17.902999877929688,18.4862003326416,17.520999908447266,17.68440055847168,*,,?,,unknown,0.1211,8.026,-7.425,True,ECDFS
2079,2MASS J03322723-2756520,53.11345873222,-27.94771809804,17.920000076293945,18.229999542236328,,,*,,?,,unknown,0.252,6.775,-5.112,True,ECDFS
